Year,Site,Coral No.,OBSERV,TRANSECT,Depth (m),Coral Cover (cm),Sand Cover (cm),CORR CORAL COVER,Coral Spp.,Max   Diameter   (cm),Max Width (cm),Max Height  (cm),% old,%recent,Disease 1 ,Disease 2,Bleaching,Damsel fish,Comments,,,
1999,West Point ,99,RG,,,,,,Sidsid,35,,20,10,0,,,,,,,,
1999,West Point ,100,RG,,,,,,Colnat,125,,40,25,0,,,,,,,,
1999,West Point ,101,RG,,,,,,Dipstr,40,,50,60,0,,,,,,,,
1999,West Point ,102,RG,,,,,,Monann,40,,35,20,0,,,,1,,,,
1999,West Point ,103,RG,,,,,,Agaaga,25,,20,0,0,,,,1,,,,
1999,West Point ,104,RG,,,,,,Porpor,40,,25,10,0,,,,,,,,
1999,West Point ,105,RG,,,,,,Moncav,35,,45,25,0,,,,1,,,,
1999,West Point ,106,RG,,14,,,,Porpor,20,,10,10,0,,,,,,,,
1999,Coral City ,1,BR,1,8,300,0,300,Monfav,100,,90,50,0,,,,,,,,
1999,Coral City ,2,BR,,,,,,Monann,110,,60,70,0,,,,,,,,
1999,Coral City ,3,BR,,,,,,Monann,140,,60,3,2,,,,,,,,
1999,Coral City ,4,BR,,,,,,Monann,100,,60,95,0,,,,,corallines,,,
1999,Coral City ,5,BR,,,,,,Monann,100,,50,30,10,WP,,,,corallines,,,
1999,Coral City ,6,BR,,,,,,Monann,90,,40,90,0,,,,,corallines,,,
1999,Coral City ,7,BR,,,,,,Milspp,100,,80,20,0,,,,3,,,,
1999,Coral City ,8,BR,,,,,,Monann,25,,20,5,0,,,,,,,,
1999,Coral City ,9,BR,,,,,,Acrpal,160,,100,0,0,,,,,,,,
1999,Coral City ,10,BR,,10,,,,Acrpal,130,,20,0,0,,,,,,,,
1999,Coral City ,11,BR,2,10,220,0,220,Monfav,40,,30,30,0,,,,,,,,
1999,Coral City ,12,BR,,,,,,Monfav,130,,70,40,0,,,,,,,,
1999,Coral City ,13,BR,,,,,,Agaaga,30,,10,5,0,,,,,red algae overgrowth,,,
1999,Coral City ,14,BR,,,,,,Agaaga,40,,20,5,0,,,,,,,,
1999,Coral City ,15,BR,,,,,,Dipstr,25,,15,0,0,,,,,,,,
1999,Coral City ,16,BR,,,,,,Monann,20,,10,5,0,,,,,,,,
1999,Coral City ,17,BR,,,,,,Porpor,40,,10,20,0,,,,,snails?,,,
1999,Coral City ,18,BR,,,,,,Acrpal,140,,100,10,5,,,,,,,,
1999,Coral City ,19,BR,,,,,,Acrpal,70,,80,10,0,,,,,,,,
1999,Coral City ,20,BR,,,,,,Unknow,35,,25,10,0,,,,,,,,
1999,Coral City ,21,BR,3,12,290,0,290,Porpor,50,,20,15,0,,,,,,,,
1999,Coral City ,22,BR,,,,,,Monfav,120,,100,50,0,,,,,,,,
1999,Coral City ,23,BR,,,,,,Monann,30,,20,50,0,,,,,,,,
1999,Coral City ,24,BR,,,,,,Monann,25,,15,10,0,,,,,,,,
1999,Coral City ,25,BR,,,,,,Porpor,30,,20,30,0,,,,,,,,
1999,Coral City ,26,BR,,,,,,Monfra,40,,50,10,0,,,,,,,,
1999,Coral City ,27,BR,,,,,,Monfra,90,,40,5,0,,,,,,,,
1999,Coral City ,28,BR,,,,,,Monann,30,,10,0,0,,,,,,,,
1999,Coral City ,29,BR,,,,,,Monann,30,,10,70,0,,,,,,,,
1999,Coral City ,30,BR,4,9,420,0,420,Acrpal,240,,120,10,5,,,,4,,,,
1999,Coral City ,31,BR,,,,,,Milspp,30,,20,15,0,,,,,,,,
1999,Coral City ,32,BR,,,,,,Moncav,30,,20,70,0,,,,,,,,
1999,Coral City ,33,BR,,,,,,Agaaga,35,,20,15,0,,,,,,,,
1999,Coral City ,34,BR,,,,,,Monann,50,,40,10,2,,,,,,,,
1999,Coral City ,35,BR,,,,,,Porpor,50,,20,90,0,,,,,,,,
1999,Coral City ,36,BR,,,,,,Acrpal,300,,150,10,0,,,,,,,,
1999,Coral City ,37,BR,,,,,,Porast,30,,20,0,5,,,,,,,,
1999,Coral City ,38,BR,,,,,,Eusfas,30,,10,10,0,,,,,,,,
1999,Coral City ,39,BR,,,,,,Acrpal,90,,60,10,20,,,,,,,,
1999,Coral City ,40,BR,5,9,250,0,250,Monfav,120,,100,0,70,,,,,,,,
1999,Coral City ,41,BR,,,,,,Porpor,40,,30,90,0,,,,,,,,
1999,Coral City ,42,BR,,,,,,Porpor,30,,10,0,10,,,,,,,,
1999,Coral City ,43,BR,,,,,,Agaaga,30,,20,0,10,,,,,,,,
1999,Coral City ,44,BR,,,,,,Agaaga,30,,20,0,0,,,,,,,,
1999,Coral City ,45,BR,,,,,,Monfav,100,,100,40,30,,,,,,,,
1999,Coral City ,46,BR,,,,,,Monann,50,,40,90,0,,,,,,,,
1999,Coral City ,47,BR,,,,,,Colnat,60,,30,0,0,,,,,,,,
1999,Coral City ,48,BR,,,,,,Monann,30,,10,10,0,,,,,,,,
1999,Coral City ,49,BR,,,,,,Monann,30,,20,70,0,,,,,,,,
1999,Coral City ,50,BR,,,,,,Acrpal,90,,80,0,0,,,,,,,,
1999,Coral City ,51,CK,6,9.5,225,0,225,Monann,28,,35,25,0,,,,,duplicate w/JH,,,
1999,Coral City ,52,CK,,,,,,Monfav,65,,70,15,0,,,,,,,,
1999,Coral City ,53,CK,,,,,,Dipstr,40,,35,5,0,,,,,,,,
1999,Coral City ,54,CK,,,,,,Dipstr,40,,20,8,0,,,,,,,,
1999,Coral City ,55,CK,,,,,,Monann,35,,25,75,0,,,,,,,,
1999,Coral City ,56,CK,,,,,,Monann,30,,40,25,0,,,,,,,,
1999,Coral City ,57,CK,,,,,,Dipstr,35,,25,5,0,,,,,,,,
1999,Coral City ,58,CK,,,,,,Monfav,70,,30,85,0,,,,,,,,
1999,Coral City ,59,CK,,,,,,Porast,25,,20,5,0,,,,,,,,
1999,Coral City ,60,CK,7,9,150,0,150,Milspp,70,,60,10,0,,,,,,,,
1999,Coral City ,61,CK,,,,,,Monann,60,,35,20,0,,,,,,,,
1999,Coral City ,62,CK,,,,,,Monann,50,,50,25,0,,,,,,,,
1999,Coral City ,63,CK,,,,,,Sidsid,40,,10,10,0,,,,,,,,
1999,Coral City ,64,CK,,,,,,Dipstr,35,,24,5,0,,,,,,,,
1999,Coral City ,65,CK,,,,,,Monann,30,,30,10,0,,,,,,,,
1999,Coral City ,66,CK,,,,,,Agaaga,70,,50,50,0,,,,,,,,
1999,Coral City ,67,CK,,,,,,Porast,15,,2,0,0,,,,,,,,
1999,Coral City ,68,CK,,,,,,Monfav,25,,10,0,0,,,,,,,,
